GEOID,tract_name,borough,area_sqmi,ksi_total,crash_count,lpi_count,hump_count,sip_count,bike_lane_miles,investment_density,svi_composite,svi_socioeconomic,svi_household,svi_minority,svi_housing,R_norm,I_norm,gap_score,biv_class,biv_color,safety_desert
36005034800,Pelham Gardens,Bronx,0.16905780222550604,374.0,777.0,5.0,6.0,1.0,1.3802766906357984,148.29493052626046,0.8403,0.632,0.9219,0.8744,0.7862,0.07901964927107542,0.13481364418853659,-0.05579399491746116,33,#3b4994,False
36005046203,Co-op City,Bronx,0.3464563507163766,290.0,870.0,6.0,2.0,1.0,1.856421642037139,71.53753253998056,0.9171,0.8255,0.9017,0.8226,0.8875,0.06127192055778576,0.06503415473304376,-0.003762234175257999,33,#3b4994,False
36005050400,Pelham Bay Park,Bronx,2.845544262960975,621.0,1223.0,0.0,0.0,0.0,6.9752017242142035,3.6769073398401737,,,,,,0.13120642298753432,0.0033426447962066536,0.12786377819132766,,#cccccc,False
36081060701,Mount Olivet & All Faiths Cemeteries,Queens,0.2742910223867974,46.0,197.0,2.0,1.0,0.0,0.3076221037804289,27.202615276079804,0.0,0.0,0.0,0.0,0.0832,0.009718994295372914,0.024729663271784334,-0.01501066897641142,11,#e8e8e8,False
36047042700,Bushwick (West),Brooklyn,0.057179235060920784,183.0,623.0,3.0,0.0,0.0,1.0288429404078652,184.38974217438604,0.6297,0.8873,0.1097,0.6564,0.4185,0.03866469469680964,0.16762712660033724,-0.1289624319035276,22,#a5add3,False
36047045300,East Williamsburg,Brooklyn,0.12344169480410716,354.0,1392.0,4.0,0.0,1.0,0.764778098529415,122.70705754511518,0.8656,0.9473,0.1461,0.7251,0.9637,0.07479399957743503,0.1115519292305143,-0.036757929653079266,33,#3b4994,False
36005030201,Co-op City,Bronx,0.08571325955977747,100.0,260.0,1.0,1.0,0.0,0.44558280794218835,54.465017850097055,0.7291,0.524,0.8322,0.9114,0.6334,0.021128248468201986,0.049513678661220493,-0.028385430193018507,21,#ace4e4,False
36047070201,Marine Park-Mill Basin-Bergen Beach,Brooklyn,0.39761347861912333,86.0,336.0,0.0,3.0,0.0,0.0,7.545015854137381,0.38,0.3174,0.9424,0.1965,0.1266,0.01817029368265371,0.0068591089334400475,0.011311184749213662,11,#e8e8e8,False
36047070602,McGuire Fields,Brooklyn,0.3798492274222406,381.0,765.0,0.0,0.0,0.0,1.1240405420845971,4.438763307665411,,,,,,0.08049862666384956,0.004035241495263179,0.07646338516858639,,#cccccc,False
36085020701,Port Richmond,Staten Island,0.16036354936338268,142.0,303.0,1.0,0.0,1.0,0.29131112199427817,33.90400564576735,0.6408,0.4893,0.4924,0.7994,0.7396,0.03000211282484682,0.030821839542823883,-0.000819726717977063,22,#a5add3,False
36085021300,Port Richmond,Staten Island,0.3024875751590988,201.0,669.0,3.0,1.0,0.0,0.5029497580977202,35.55327729243126,0.7979,0.8065,0.7626,0.7179,0.5815,0.04246777942108599,0.032321178192867735,0.010146601228218255,22,#a5add3,True
36047021900,Crown Heights (North),Brooklyn,0.05677306470286108,311.0,773.0,8.0,1.0,0.0,0.8199737077173112,462.01417342640144,0.4682,0.5978,0.0152,0.6955,0.7866,0.06570885273610817,0.4200131060807772,-0.35430425334466903,13,#be64ac,False
36047031702,Crown Heights (North),Brooklyn,0.05381717394612551,165.0,476.0,5.0,4.0,0.0,0.42625549430095655,364.92780652346653,0.3433,0.3826,0.0608,0.654,0.6041,0.03486160997253328,0.33175272606129824,-0.29689111608876495,12,#dfb0d6,False
36081061601,Laurelton,Queens,0.14769533471974494,120.0,266.0,0.0,8.0,0.0,0.5141066038596844,59.38684469914361,0.3507,0.5322,0.3738,0.9415,0.0488,0.025353898161842383,0.05398806906168971,-0.028634170899847326,11,#e8e8e8,False
36081061602,Rosedale,Queens,0.16331246604849148,551.0,1210.0,1.0,4.0,0.0,0.0007889931057805909,42.86986571851685,0.1517,0.031,0.6319,0.8927,0.0931,0.11641664905979295,0.03897262571873982,0.07744402334105313,13,#be64ac,False
36047000700,Brooklyn Heights,Brooklyn,0.06749221243285378,269.0,929.0,2.0,2.0,0.0,0.3730241565503243,126.82257591334917,0.1933,0.0335,0.0783,0.3958,0.8276,0.056834988379463346,0.11529331153520633,-0.05845832315574299,13,#be64ac,False
36047098200,Canarsie,Brooklyn,0.13342367415521553,334.0,782.0,3.0,0.0,1.0,0.17834458691802407,84.44915755557155,0.9297,0.9428,0.9571,0.9906,0.5878,0.07056834988379464,0.07677200183658618,-0.006203651952791545,33,#3b4994,False
36047110400,East New York-New Lots,Brooklyn,0.2865988477206579,2022.0,4450.0,5.0,7.0,1.0,1.0902800564328878,89.44704519410928,0.9515,0.8896,0.9607,0.9555,0.8658,0.42721318402704417,0.08131553844572736,0.3458976455813168,33,#3b4994,True
36081071100,Forest Hills,Queens,0.14172749976286253,359.0,1382.0,4.0,1.0,1.0,0.43883541975316614,110.48140379128277,0.3878,0.1112,0.4409,0.6246,0.7535,0.07585041200084514,0.1004376926932812,-0.02458728069243607,13,#be64ac,False
36081037501,Corona,Queens,0.02048973805078761,58.0,185.0,2.0,1.0,0.0,0.1485351533483162,352.50830011195944,0.8135,0.9327,0.3447,0.9265,0.6239,0.012254384111557153,0.32046225974248044,-0.3082078756309233,31,#5ac8c8,False
36081037502,North Corona,Queens,0.03866443162517879,221.0,575.0,5.0,1.0,1.0,0.431079970323531,482.26804770466015,0.8635,0.8101,0.8789,0.9206,0.6617,0.04669342911472639,0.438425728755731,-0.3917322996410046,32,#5698b9,False
36081027301,Jackson Heights,Queens,0.03808620921230816,154.0,483.0,3.0,0.0,0.0,0.18375555182078354,243.54309655825782,0.9162,0.9865,0.7495,0.9906,0.6714,0.03253750264103106,0.2214029316272901,-0.18886542898625905,32,#5698b9,False
36081046500,Elmhurst,Queens,0.050100545210474835,169.0,687.0,7.0,4.0,0.0,0.18760705792978902,504.61348236204304,0.7947,0.7381,0.749,0.9555,0.6003,0.03570673991126136,0.45873977095830754,-0.42303303104704615,22,#a5add3,False
36061011600,Upper East Side-Lenox Hill-Roosevelt Island,Manhattan,0.07595675098318143,487.0,1656.0,8.0,0.0,1.0,0.5611472410742991,353.38163513016536,0.3796,0.1061,0.3181,0.4629,0.8653,0.10289457004014367,0.3212562010861527,-0.21836163104600903,13,#be64ac,False
36061012400,Upper East Side-Lenox Hill-Roosevelt Island,Manhattan,0.06627225295100096,270.0,1360.0,7.0,0.0,1.0,0.8407361817135481,366.0823827810412,0.3935,0.1078,0.1558,0.4605,0.959,0.05704627086414536,0.33280234139356096,-0.2757560705294156,13,#be64ac,False
36061016300,Upper West Side (Central),Manhattan,0.10263728338431354,449.0,1389.0,7.0,3.0,0.0,2.1594583674432015,265.3927174706173,0.4602,0.3262,0.2866,0.3594,0.7997,0.09486583562222692,0.24126623382433734,-0.14640039820211043,13,#be64ac,False
36061016700,Upper West Side (Central),Manhattan,0.07873644248857861,293.0,1313.0,10.0,1.0,0.0,1.1550988980145815,415.72424804143293,0.115,0.0241,0.2013,0.2625,0.4736,0.06190576801183182,0.3779313335736721,-0.31602556556184025,13,#be64ac,False
36047117602,Cypress Hills,Brooklyn,0.055527147215776125,209.0,472.0,1.0,2.0,0.0,0.0,90.0460450555872,0.896,0.9224,0.9189,0.8422,0.5468,0.04415803929854215,0.0818600840610609,-0.037702044762518754,32,#5698b9,False
36005038700,Belmont,Bronx,0.07072840063732441,230.0,787.0,6.0,4.0,1.0,0.4998172999872707,349.9262775202655,0.9717,0.9968,0.8499,0.8237,0.9352,0.04859497147686457,0.3181149652413933,-0.26951999376452873,32,#5698b9,False
36005038900,Belmont,Bronx,0.06623082021363932,218.0,863.0,3.0,2.0,0.0,0.8440773971077851,185.20253948381028,0.9466,0.9952,0.6239,0.8075,0.9496,0.04605958166068033,0.1683660336343219,-0.12230645197364157,32,#5698b9,False
36005030202,Co-op City,Bronx,0.12013515067056017,71.0,143.0,1.0,0.0,1.0,0.31064231835508505,45.49845275943949,0.8025,0.5744,0.8254,0.9093,0.8162,0.01500105641242341,0.04136225155959613,-0.02636119514717272,21,#ace4e4,False
36005046205,Co-op City,Bronx,0.3381461333611145,582.0,1781.0,5.0,0.0,2.0,0.5947768394023814,58.82712619357455,0.835,0.8253,0.798,0.9265,0.61,0.12296640608493556,0.05347923378871209,0.06948717229622348,33,#3b4994,True
36081047500,Elmhurst,Queens,0.10864454214529277,140.0,436.0,2.0,1.0,1.0,0.7773810405674851,93.57185699449046,0.7333,0.7803,0.1921,0.8516,0.7678,0.02957954785548278,0.08506536932954704,-0.055485821474064265,22,#a5add3,False
36061008700,Chelsea-Hudson Yards,Manhattan,0.06387863347132122,286.0,1271.0,9.0,0.0,3.0,1.1646608306422248,543.9532650860988,0.1513,0.3193,0.0057,0.462,0.5532,0.06042679061905768,0.49450322862873697,-0.43407643800967927,13,#be64ac,False
36061009100,Chelsea-Hudson Yards,Manhattan,0.06912305228891041,373.0,1489.0,7.0,2.0,0.0,0.6819955932815586,347.53953412697325,0.4362,0.2038,0.0564,0.489,0.984,0.07880836678639341,0.31594519737778004,-0.23713683059138663,13,#be64ac,False
36061019800,East Harlem (North),Manhattan,0.08773415297985866,559.0,1397.0,9.0,0.0,2.0,0.7054632418383269,365.40154288737665,0.6854,0.3777,0.4339,0.745,0.9639,0.11810690893724911,0.3321833957097933,-0.2140764867725442,23,#8c62aa,False
36061020000,Harlem (South),Manhattan,0.049368962149879486,201.0,535.0,4.0,1.0,0.0,0.4794275202348637,277.8900078697681,0.6926,0.5754,0.3696,0.683,0.8596,0.04246777942108599,0.252627412896427,-0.210159633475341,22,#a5add3,False
