"the_geom","MainStreet","CrossStree","Install_Da","LONG","LAT","X","Y"
"POINT (-73.82827338235253 40.8784654279524)","Co-op City Blvd","Dreiser loop East","2018-08-01T00:00:00","-73.8282733823525","40.8784654279524","1031739.00015423","259373.000004306"
"POINT (-73.94827133431397 40.80395846158971)","Lenox Avenue","West 119 St","2018-08-08T00:00:00","-73.948271334314","40.8039584615897","998570.999889299","232184.999918476"
"POINT (-73.94781210658503 40.80458679730505)","Lenox Avenue","West 120 St","2018-08-08T00:00:00","-73.947812106585","40.804586797305","998697.999963388","232414.000116646"
"POINT (-73.94735287235763 40.805212385508575)","Lenox Avenue","West 121 St","2018-08-08T00:00:00","-73.9473528723576","40.8052123855085","998825.000037476","232641.99998872"
"POINT (-73.94690085385514 40.80583797514777)","Lenox Avenue","West 122 St","2018-08-08T00:00:00","-73.9469008538551","40.8058379751477","998950.000115559","232869.999860808"
"POINT (-73.94643798698489 40.806469048254705)","Lenox Avenue","West 123 St","2018-08-08T00:00:00","-73.9464379869849","40.8064690482547","999077.999859557","233100.000056982"
"POINT (-73.94499507510523 40.808447314631906)","Lenox Avenue","West 126 St","2018-08-08T00:00:00","-73.9449950751052","40.8084473146319","999477.000045806","233820.999927312"
"POINT (-73.94453940240399 40.80907014914619)","Lenox Avenue","West 127 St","2018-08-08T00:00:00","-73.944539402404","40.8090701491462","999603.000121891","234048.000129476"
"POINT (-73.94408372236045 40.809692980896855)","Lenox Avenue","West 128 St","2018-08-08T00:00:00","-73.9440837223604","40.8096929808968","999728.999869883","234275.000003561"
"POINT (-73.94362441785673 40.81031855373312)","Lenox Avenue","West 129 St","2018-08-08T00:00:00","-73.9436244178567","40.8103185537331","999855.999943972","234502.99987565"
"POINT (-73.943172331973 40.810941384422044)","Lenox Avenue","West 130 St","2018-08-08T00:00:00","-73.943172331973","40.810941384422","999981.000022054","234730.000077814"
"POINT (-73.9427202352665 40.811566957090555)","Lenox Avenue","West 131 St","2018-08-08T00:00:00","-73.9427202352665","40.8115669570905","1000106.00010014","234957.999949887"
"POINT (-73.9422500614835 40.8122007539243)","Lenox Avenue","West 132 St","2018-08-08T00:00:00","-73.9422500614835","40.8122007539243","1000235.99984014","235189.000144064"
"POINT (-73.9376453947623 40.81851121345242)","Lenox Avenue","West 142 St","2018-08-08T00:00:00","-73.9376453947623","40.8185112134524","1001508.9999188","237489.000137225"
"POINT (-73.93671930065096 40.81977053429793)","Lenox Avenue","West 144 St","2018-08-08T00:00:00","-73.936719300651","40.8197705342979","1001765.00006297","237947.999875396"
"POINT (-73.93574251642154 40.82110667208659)","Lenox Avenue","West 146 St","2018-08-08T00:00:00","-73.9357425164215","40.8211066720866","1002034.99985105","238434.999885648"
"POINT (-73.89347513128226 40.842862916335164)","Crotona Avenue","East 175 Street","2018-08-10T00:00:00","-73.8934751312823","40.8428629163351","1013724.00009505","246373.000085726"
"POINT (-73.8899664713727 40.84679278963404)","Crotona Avenue","East 179 Street","2018-08-10T00:00:00","-73.8899664713727","40.846792789634","1014693.00012556","247805.999844387"
"POINT (-73.8881556726499 40.848929175413964)","Crotona Avenue","East 181 Street","2018-08-10T00:00:00","-73.8881556726499","40.8489291754139","1015193.00010981","248584.999926805"
"POINT (-73.88643280219728 40.85030807951415)","Crotona Avenue","East 182 Street","2018-08-10T00:00:00","-73.8864328021973","40.8503080795141","1015669.00014205","249087.999905065"
"POINT (-73.88471696714373 40.85175832775938)","Crotona Avenue","East 183 Street","2018-08-10T00:00:00","-73.8847169671437","40.8517583277593","1016142.99985021","249617.000159398"
"POINT (-73.88576681119481 40.850834405384475)","Crotona Avenue","Garden Street","2018-08-10T00:00:00","-73.8857668111948","40.8508344053845","1015853.00010213","249279.999849141"
"POINT (-73.88545198476544 40.851039946646466)","Crotona Avenue","Grote Street","2018-08-10T00:00:00","-73.8854519847654","40.8510399466464","1015939.99992813","249355.000027224"
"POINT (-73.89154522367869 40.84946762955758)","East 180 Street","Arthur Avenue","2018-08-10T00:00:00","-73.8915452236787","40.8494676295576","1014255.0000173","248779.999864891"
"POINT (-73.89478854473425 40.851081775971515)","East 180 Street","Bathgate Avenue","2018-08-10T00:00:00","-73.8947885447343","40.8510817759715","1013356.9998448","249367.000003234"
"POINT (-73.88979720328336 40.84860688050809)","East 180 Street","Belmont Avenue","2018-08-10T00:00:00","-73.8897972032834","40.8486068805081","1014739.00003356","248467.00016281"
"POINT (-73.88883653314309 40.84813386828092)","East 180 Street","Crotona Avenue","2018-08-10T00:00:00","-73.8888365331431","40.8481338682809","1015005.00015771","248294.999850646"
"POINT (-73.87608508503253 40.842066047423685)","East 180 Street","Devoe Avenue","2018-08-10T00:00:00","-73.8760850850325","40.8420660474236","1018535.99998547","246088.999997556"
"POINT (-73.88243000587086 40.84498208105208)","East 180 Street","Honeywell Avenue","2018-08-10T00:00:00","-73.8824300058709","40.8449820810521","1016778.99989055","247148.999846056"
"POINT (-73.89232534475624 40.84985261937623)","East 180 Street","La Fontaine Avenue","2018-08-10T00:00:00","-73.8923253447562","40.8498526193762","1014039.00012122","248919.999912977"
"POINT (-73.88560430211994 40.846544267646195)","East 180 Street","Mapes Avenue","2018-08-10T00:00:00","-73.8856043021199","40.8465442676462","1015900.00000814","247717.000022396"
"POINT (-73.88669493764 40.84708056194925)","East 180 Street","Prospect Avenue","2018-08-10T00:00:00","-73.88669493764","40.8470805619492","1015597.99995597","247911.999960482"
"POINT (-73.89556508455102 40.851469485172224)","East 180 Street","Washington Avenue","2018-08-10T00:00:00","-73.895565084551","40.8514694851722","1013141.99994673","249508.000049308"
"POINT (-74.01441867560094 40.71704863612187)","North End Avenue","Warren Street","2018-08-11T00:00:00","-74.0144186756009","40.7170486361218","980253.000108048","200516.99993439"
"POINT (-74.00522444161619 40.72933495674979)","Varick Street","Clarkson Street","2018-08-11T00:00:00","-74.0052244416162","40.7293349567498","982801.999931306","204992.999840647"
